taxon	accession	organism	strain	collection_year	host	collection_location	collection_continent	serogroup
AWU66957|Oropouche_virus	AWU66957	Oropouche virus	BeAn 206119	1971	Bradypus tridactylus	Brazil	South America	Simbu
AWU66965|Oropouche_virus	AWU66965	Oropouche virus	BeAn 208819	1971	Bradypus tridactylus	Brazil	South America	Simbu
AWU66917|Oropouche_virus	AWU66917	Oropouche virus	BeH 390242	1980	Homo sapiens	Brazil	South America	Simbu
AWU66913|Oropouche_virus	AWU66913	Oropouche virus	BeH 389865	1980	Homo sapiens	Brazil	South America	Simbu
AWU66925|Oropouche_virus	AWU66925	Oropouche virus	BeH 472435	1988	Homo sapiens	Brazil	South America	Simbu
AWU66953|Oropouche_virus	AWU66953	Oropouche virus						Simbu
AWU66941|Oropouche_virus	AWU66941	Oropouche virus	BeH 29086	1961	Homo sapiens	Brazil	South America	Simbu
AWU66945|Oropouche_virus	AWU66945	Oropouche virus						Simbu
AWU66949|Oropouche_virus	AWU66949	Oropouche virus						Simbu
AWU66973|Oropouche_virus	AWU66973	Oropouche virus	BeAr 366927	1979	Culicoides paraensis	Brazil	South America	Simbu
AAO11841|Oropouche_virus	AAO11841	Oropouche virus	BeAn19991	1960	Bradypus tridactylus	Brazil	South America	Simbu
AWU66937|Oropouche_virus	AWU66937	Oropouche virus	BeAr 19886	1960	Ochlerotatus serratus	Brazil	South America	Simbu
AJE24678|Oropouche_virus	AJE24678	Oropouche virus	BeAn19991	1960	Bradypus tridactylus	Brazil	South America	Simbu
ALB07205|Oropouche_virus	ALB07205	Oropouche virus	TVP-19264/PAN-481126	1999	Homo sapiens	Panama	North America	Simbu
ALB07198|Oropouche_virus	ALB07198	Oropouche virus	TVP-19254/GML-480914	1989	Homo sapiens	Panama	North America	Simbu
ASZ70170|Oropouche_virus	ASZ70170	Oropouche virus	NA	1961	NA	NA	South America	Simbu
AJR29359|Oropouche_virus	AJR29359	Oropouche virus	TRVL9760	1955	NA	"Trinidad and Tobago: Trinidad, Sangre Grande"	South America	Simbu
ALB07197|Oropouche_virus	ALB07197	Oropouche virus						Simbu
ALB07196|Oropouche_virus	ALB07196	Oropouche virus	TVP-19249/GML-444672	1989	Homo sapiens	Panama	North America	Simbu
QFI57497|Oropouche_virus	QFI57497	Oropouche virus	OROV/EC/Esmeraldas/210/2016	2016	Homo sapiens	Ecuador	South America	Simbu
QFI57493|Oropouche_virus	QFI57493	Oropouche virus	OROV/EC/Esmeraldas/057/2016	2016	Homo sapiens	Ecuador	South America	Simbu
QFI57495|Oropouche_virus	QFI57495	Oropouche virus	OROV/EC/Esmeraldas/171/2016	2016	Homo sapiens	Ecuador	South America	Simbu
QFI57496|Oropouche_virus	QFI57496	Oropouche virus						Simbu
ATJ00128|Oropouche_virus	ATJ00128	Oropouche virus	OROV/EC/Esmeraldas/087/2016	2016	Homo sapiens	Ecuador	South America	Simbu
QFI57494|Oropouche_virus	QFI57494	Oropouche virus	OROV/EC/Esmeraldas/155/2016	2016	Homo sapiens	Ecuador	South America	Simbu
UYI36398|Oropouche_orthobunyavirus	UYI36398	Oropouche orthobunyavirus						Simbu
QCY50873|Oropouche_orthobunyavirus	QCY50873	Oropouche orthobunyavirus	FCT00025/COL/2017	2017	Homo sapiens	Colombia	South America	Simbu
UYI36404|Oropouche_orthobunyavirus	UYI36404	Oropouche orthobunyavirus						Simbu
UYI36401|Oropouche_orthobunyavirus	UYI36401	Oropouche orthobunyavirus						Simbu
UGL84925|Oropouche_orthobunyavirus	UGL84925	Oropouche orthobunyavirus	OROV/Saul/17225/2020	2020	Homo sapiens	French Guiana	South America	Simbu
ALB07199|Oropouche_virus	ALB07199	Oropouche virus	TVP-19256/IQE-7894	2008	Homo sapiens	Peru	South America	Simbu
ALB07202|Oropouche_virus	ALB07202	Oropouche virus	TVP-19259/IQT-7085	1998	Homo sapiens	Peru	South America	Simbu
ALB07203|Oropouche_virus	ALB07203	Oropouche virus	TVP-19260/MD-203	1994	Homo sapiens	Peru	South America	Simbu
ALB07201|Oropouche_virus	ALB07201	Oropouche virus	TVP-19258/IQT-4083	1997	Homo sapiens	Peru	South America	Simbu
ALB07204|Oropouche_virus	ALB07204	Oropouche virus	TVP-19262/OBS-9478	2000	Homo sapiens	Peru	South America	Simbu
ALB07200|Oropouche_virus	ALB07200	Oropouche virus	TVP-19257/IQT-1690	1995	Homo sapiens	Peru	South America	Simbu
ALB07195|Oropouche_virus	ALB07195	Oropouche virus	TVP-19244/DEI-216	1992	Homo sapiens	Peru	South America	Simbu
QIM41036|Oropouche_virus	QIM41036	Oropouche virus	OV/Homo sapiens/Haiti-1/2014	2014	Homo sapiens	Haiti	South America	Simbu
AJT39465|Oropouche_virus	AJT39465	Oropouche virus	BeH759620	2009	Homo sapiens	Brazil	South America	Simbu
AJT39477|Oropouche_virus	AJT39477	Oropouche virus	BeH759025	2009	Homo sapiens	Brazil	South America	Simbu
AJT39481|Oropouche_virus	AJT39481	Oropouche virus						Simbu
AJT39485|Oropouche_virus	AJT39485	Oropouche virus	BeH759021	2009	Homo sapiens	Brazil	South America	Simbu
AJT39473|Oropouche_virus	AJT39473	Oropouche virus	BeH759040	2009	Homo sapiens	Brazil	South America	Simbu
AJT39489|Oropouche_virus	AJT39489	Oropouche virus	BeH759024	2009	Homo sapiens	Brazil	South America	Simbu
AJT39453|Oropouche_virus	AJT39453	Oropouche virus	BeH759146	2009	Homo sapiens	Brazil	South America	Simbu
AJT39469|Oropouche_virus	AJT39469	Oropouche virus	BeH759529	2009	Homo sapiens	Brazil	South America	Simbu
QWT43265|Oropouche_virus	QWT43265	Oropouche virus	Bel90435/H853382	2018	Homo sapiens	Brazil	South America	Simbu
AJT39461|Perdoes_virus	AJT39461	Perdoes virus						Simbu
AJT39457|Perdoes_virus	AJT39457	Perdoes virus	BeAn790177	2012	Callithrix penicillata	Brazil	South America	Simbu
AIK67307|Iquitos_virus	AIK67307	Iquitos virus	MIS-0397	2009	Homo sapiens	Peru: Lima	South America	Simbu
AHY22332|Iquitos_virus	AHY22332	Iquitos virus	IQT9924	1999	Homo sapiens	Peru	South America	Simbu
AIK67311|Madre_de_Dios_virus	AIK67311	Madre de Dios virus	INHRR 17a-10	2010	Cebus sp.	Venezuela: Anzoategui State	South America	Simbu
AHY22333|Madre_de_Dios_virus	AHY22333	Madre de Dios virus	FMD 1303	2007	Homo sapiens	Peru	South America	Simbu
AFI24668|Jatobal_virus	AFI24668	Jatobal virus	BeAn 423380	1984	Nasua nasua	Brazil	South America	Simbu
AHY22337|Utive_virus	AHY22337	Utive virus	Pan An 48878	1975	Bradypus variegatus	Panama	North America	Simbu
AHY22336|Utinga_virus	AHY22336	Utinga virus	Be An 84785	1965	Bradypus tridactylus	Brazil	South America	Simbu
WBP50001|Cat_Que_virus	WBP50001	Cat Que virus						Simbu
QEV83986|Oya_virus	QEV83986	Oya virus	GD18234	2018	midge	China	Asia	Simbu
AGS56984|Oya_virus	AGS56984	Oya virus	SC0806	2008	mosquito	China	Asia	Simbu
AXQ05038|Cat_Que_virus	AXQ05038	Cat Que virus	JM1	1961	Acridotheres fuscus	India	Asia	Simbu
ARF07019|Oya_virus	ARF07019	Oya virus	NIV86209	1986	Homo sapiens	India	Asia	Simbu
AXP32042|Oya_virus	AXP32042	Oya virus	VN04-2108	2002	Culex sp.	"Viet Nam: Cat Que, Ha Tay province"	Asia	Simbu
AFI24663|Cat_Que_virus	AFI24663	Cat Que virus	VN04-2108	2004	Culex sp.	Viet Nam	Asia	Simbu
AKO22295|Manzanilla_virus	AKO22295	Manzanilla virus	DHL10M107	2010	Culex tritaeniorhynchus (mosquito)	China	Asia	Simbu
AXQ05041|Balagodu_virus	AXQ05041	Balagodu virus	PB1	1963	Ardeola grayii	India	Asia	Simbu
AHY22331|Ingwavuma_virus	AHY22331	Ingwavuma virus	SA An 4165	1959	Hyphanturgus ocularis	South Africa	Africa	Simbu
ATI21267|Mermet_virus	ATI21267	Mermet virus	TX-809	2002	Mniotilia varia	USA	North America	Simbu
AHY22335|Mermet_virus	AHY22335	Mermet virus	AV 782	1964	Progne subis	USA	North America	Simbu
AHY22334|Manzanilla_virus	AHY22334	Manzanilla virus	TRVL 3586	1954	Alouatta seniculus	Trinidad and Tobago: Trinidad	South America	Simbu
AXP32010|Buttonwillow_virus	AXP32010	Buttonwillow virus	A 7956	1961	Sylvilagus audubonii	"USA: Kern County, CA"	North America	Simbu
AHY22338|Buttonwillow_virus	AHY22338	Buttonwillow virus	BFS 5002	1964	Culicoides sp.	USA	North America	Simbu
AXP32070|Thimiri_orthobunyavirus	AXP32070	Thimiri orthobunyavirus	VRC 66414	1963	Ardeola grayii (sykes)	"India: Thimiri, Walljah Tk., N. Arcot District"	Asia	Simbu
AHY22330|Facey_s_Paddock_virus	AHY22330	Facey s Paddock virus						Simbu
QCT81363|Leanyer_virus	QCT81363	Leanyer virus	cs503	1974	Culicoides sp.	Australia	Oceania	Ungrouped
AEA02985|Leanyer_virus	AEA02985	Leanyer virus	AusN16701	1974	Anopheles meraukensis	"Australia: Leanyer, Northern Territory"	Oceania	Ungrouped
QCT81361|Leanyer_virus	QCT81361	Leanyer virus	cs0002	1984	Culicoides sp.	Australia	Oceania	Ungrouped
QCT81362|Leanyer_virus	QCT81362	Leanyer virus	cs0010	1974	mixed Culicoides species	Australia	Oceania	Ungrouped
AXP32058|Sedlec_virus	AXP32058	Sedlec virus	Av 172	1984	Acrocephalus scirpaceus	Czech Republic: Sedlec	Europe	Simbu
QLA46909|Oriboca_virus	QLA46909	Oriboca virus						Group C
AGW82130|Oriboca_virus	AGW82130	Oriboca virus	BeAn17	1954	Cebus apella	Brazil	South America	Group C
AVX48974|Oriboca_virus	AVX48974	Oriboca virus	BeAn17	1954	Sapajus apella	Brazil	South America	Group C
QLA46907|Oriboca_virus	QLA46907	Oriboca virus	M17031	1954	Monkey	Brazil	South America	Group C
QLA46921|Murutucu_virus	QLA46921	Murutucu virus	BeAn 974	1955	Sapajus apella (Sentinel)	Brazil	South America	Group C
AKB96245|Murutucu_virus	AKB96245	Murutucu virus	BeAn 974	1955	Cebus apella	Brazil	South America	Group C
AVX48966|Murutucu_virus	AVX48966	Murutucu virus	BeAn974	1955	Sapajus apella	Brazil	South America	Group C
QLA46893|Restan_virus	QLA46893	Restan virus	TRVL 51144	1963	Culex sp.	Trinidad and Tobago	South America	Group C
AKB96246|Restan_virus	AKB96246	Restan virus	TRVL 51144	1963	Culex (Melanoconium) sp.	Trinidad and Tobago: Trinidad	South America	Group C
AWU66320|Orthobunyavirus_sp.	AWU66320	Orthobunyavirus sp.	IQE7743	2008	Homo sapiens; gender F; age 46	Peru: Iquitos	South America	Group C
AEY62397|Marituba_virus	AEY62397	Marituba virus	IQE7620	2008	Homo sapiens; gender F; age 14	Peru	South America	Group C
QLA46931|Marituba_virus	QLA46931	Marituba virus	BeAn 15	1954	Sapajus apella (adult male) (Sentinel)	Brazil	South America	Group C
AGW82126|Marituba_virus	AGW82126	Marituba virus	BeAn15	1954	Cebus apella	Brazil	South America	Group C
AVX48962|Marituba_virus	AVX48962	Marituba virus						Group C
AVX48958|Madrid_virus	AVX48958	Madrid virus	BT4075	1961	Homo sapiens	Brazil	South America	Group C
AVX48946|Apeu_virus	AVX48946	Apeu virus	BeAn848	1955	Sapajus apella	Brazil	South America	Group C
QLA46957|Gumbo_Limbo_virus	QLA46957	Gumbo Limbo virus	FE3-71H	1963	Culex sp.	USA	North America	Group C
AKB96244|Gumbo_Limbo_virus	AKB96244	Gumbo Limbo virus	Fe371H2	1963	Culex (Melanoconium) sp.	USA	North America	Group C
QLA46917|Nepuyo_virus	QLA46917	Nepuyo virus	HB7-451	1967	Artibeus jamaicensis serum	Honduras	North America	Group C
AVX48970|Nepuyo_virus	AVX48970	Nepuyo virus	BeAn10709	1959	sentinel mouse	Brazil	South America	Group C
AKB96247|Nepuyo_virus	AKB96247	Nepuyo virus	TRVL 18462	1957	Culex accelerans	Trinidad and Tobago: Trinidad	South America	Group C
AGW82153|Orthobunyavirus_FSL2923	AGW82153	Orthobunyavirus FSL2923	FSL2923	2006	Homo sapiens; gender M; age 59	Peru: Yurimaguas	South America	Group C
AJZ73167|Itaya_virus	AJZ73167	Itaya virus	IQT9646	1999	Homo sapiens	Peru: Iquitos	South America	Group C
AGW82149|Caraparu_virus	AGW82149	Caraparu virus	IQD5973	2003	Homo sapiens; gender F; age 17	Peru: Iquitos	South America	Group C
AWU66302|Orthobunyavirus_sp.	AWU66302	Orthobunyavirus sp.	IQE3155	2006	Homo sapiens; gender M; age 27	Peru: Iquitos	South America	Group C
AWU66324|Orthobunyavirus_sp.	AWU66324	Orthobunyavirus sp.	FMD2329	2009	Homo sapiens; gender M; age 22	Peru: Puerto Maldonado	South America	Group C
AGW82157|Caraparu_virus	AGW82157	Caraparu virus	FMD0783	2006	Homo sapiens; gender M; age 21	Peru: Puerto Maldonado	South America	Group C
AWU66318|Orthobunyavirus_sp.	AWU66318	Orthobunyavirus sp.	FMD1881	2008	Homo sapiens; gender M; age 28	Peru: Puerto Maldonado	South America	Group C
AGW82145|Caraparu_virus	AGW82145	Caraparu virus	FVB0426	2008	Homo sapiens; gender F; age 24	Bolivia: Cochabamba	South America	Group C
AVX48950|Caraparu_virus	AVX48950	Caraparu virus	BeAn3994	1956	Sapajus apella	Brazil	South America	Group C
AGW82134|Caraparu_virus	AGW82134	Caraparu virus	BeAn3994	1956	Cebus apella	Brazil	South America	Group C
QLA46975|Caraparu_virus	QLA46975	Caraparu virus	BeAn 3994	1956	Sapajus apella (Sentinel)	Brazil	South America	Group C
QLA46950|Itaqui_virus	QLA46950	Itaqui virus	BeAn 12797	1959	Mus musculus	Brazil	South America	Group C
AVX48954|Itaqui_virus	AVX48954	Itaqui virus	BeAn12797	1959	sentinel mouse	Brazil	South America	Group C
QLA46935|Madrid_virus	QLA46935	Madrid virus	BT 4075	1961	36 yr male human	Panama	North America	Group C
AGW82138|Madrid_virus	AGW82138	Madrid virus	BT4075	1956	Homo sapiens; gender M; age 36	Panama	North America	Group C
QLA46883|Vinces_virus	QLA46883	Vinces virus	24188	1976	sentinel hamster	Ecuador	South America	Group C
QLA46982|Bruconha_virus	QLA46982	Bruconha virus	77V14676	1976	Culex (Melanoconion) sp.	Brazil	South America	Group C
AKB96243|Bruconha_virus	AKB96243	Bruconha virus	77V74814	1977	sentinel mouse	Brazil	South America	Group C
UYS78539|Bruconha_orthobunyavirus	UYS78539	Bruconha orthobunyavirus						Group C
QLA47001|Ananindeua_virus	QLA47001	Ananindeua virus	BeAn 109303	1966	Caluromys philander	Brazil	South America	Guama
APM83095|Ananindeua_virus	APM83095	Ananindeua virus	BEAN109303	1966	Caluromys philander	Brazil	South America	Guama
AXY55022|Ananindeua_virus	AXY55022	Ananindeua virus	BeAn20525	1960	sentinel mouse	Brazil	South America	Guama
ALS54742|El_Huayo_virus	ALS54742	El Huayo virus	IQT110	2013	Culex portesi	Peru	South America	Group C
AKO90163|Moju_virus	AKO90163	Moju virus	BeAr 12590	1959	Culex (Melanoconion) sp.	Brazil	South America	Guama
AKO90158|Catu_virus	AKO90158	Catu virus	BeH 151	1955	Homo sapiens	Brazil	South America	Guama
AKO90160|Guama_virus	AKO90160	Guama virus	BeAn 277	1955	Cebus apella	Brazil	South America	Guama
AKO90157|Bimiti_virus	AKO90157	Bimiti virus	TRVL 8362	1955	Culex spissipes	Trinidad and Tobago	South America	Guama
ALP92135|Mahogany_hammock_virus	ALP92135	Mahogany hammock virus	FE4-2s	1964	Culex (Melanoconion) sp.	USA	North America	Guama
QLA47014|Timboteua_virus	QLA47014	Timboteua virus	BeAn 116382	1967	Mus musculus (Sentinal)	Brazil	South America	Guama
QLA47078|Bushbush_virus	QLA47078	Bushbush virus	TRVL 26668	1959	Culex accelerans	Trinidad and Tobago	South America	Capim
QLA47054|Moriche_virus	QLA47054	Moriche virus	TRVL 57896	1964	Culex amazonensis	Trinidad and Tobago	South America	Capim
QLA47064|Juan_Diaz_virus	QLA47064	Juan Diaz virus	MARU 8563	1962	mouse (sentinel)	Panama	North America	Capim
QLA46960|Guajara_orthobunyavirus	QLA46960	Guajara orthobunyavirus	18315	1975	Mesocricetus auratus	Ecuador	South America	Capim
AMR98956|Capim_virus	AMR98956	Capim virus	BeAn8582	1958	Caluromys philander	"Brazil: Utinga Forest, Para State"	South America	Capim
ALP92388|Capim_virus	ALP92388	Capim virus	BeAn 8582	1958	Caluromys philander (woolly opossum)	Brazil	South America	Capim
AKO90159|Guajara_orthobunyavirus	AKO90159	Guajara orthobunyavirus	BeAn 10615	1959	Mus musculus	Brazil	South America	Capim
QLA47108|Acara_virus	QLA47108	Acara virus	BeAn 27639	1961	Mus musculus	Brazil	South America	Capim
QLA47087|Benevides_virus	QLA47087	Benevides virus	BeAr 153564	1968	Mus musculus	Brazil	South America	Capim
QLA47084|Benfica_virus	QLA47084	Benfica virus	71U344	1905	Hamster	Peru	South America	Capim
QLA46927|Minatitlan_virus	QLA46927	Minatitlan virus	M67U5	1967	Mesocricetus auratus	Mexico	North America	Minatitlan
QLA47081|Bertioga_virus	QLA47081	Bertioga virus	76V25643	1976	Culex (Melanoconion) sp.	Brazil	South America	Guama
QLA47075|Cananeia_virus	QLA47075	Cananeia virus	SPAn 64962	1976	Mus musculus	Brazil	South America	Guama
QLA47070|Guaratuba_virus	QLA47070	Guaratuba virus	76V25271	1976	Culex taeniopus	Brazil	South America	Guama
QLA47067|Itimirim_virus	QLA47067	Itimirim virus	SPAn 47817	1976	Oryzomys sp.	Brazil	South America	Guama
QLA46924|Mirim_virus	QLA46924	Mirim virus	BeAn 7722	1957	Sapajus apella (Sentinel)	Brazil	South America	Guama
APM83098|Mirim_virus	APM83098	Mirim virus	BEAN7722	1957	Sapajus apella	Brazil	South America	Guama
QLA47101|Mirim-like_virus	QLA47101	Mirim-like virus	75V1183	1974	Culex paracrybda	Ecuador	South America	Guama
QLA46872|Zegla_virus	QLA46872	Zegla virus	BT 5012	1961	Sigmodon hispidus	Panama	North America	Patois
AXP33562|Zegla_virus	AXP33562	Zegla virus	BT5012	1961	Sigmodon hispidus	Panama	North America	Patois
QLA46901|Patois_virus	QLA46901	Patois virus	BT 4971	1961	Sigmodon hispidus	Panama	North America	Patois
AXP33560|Patois_virus	AXP33560	Patois virus	63A49	1963	Culex sp.	Mexico	North America	Patois
QLA47044|Pahayokee_virus	QLA47044	Pahayokee virus	FE3-52F	1963	Culex (Melanoconion) sp.	USA	North America	Patois
AXP33561|Shark_River_virus	AXP33561	Shark River virus	64U80	1964	sentinel hamster	Mexico	North America	Patois
UWX37293|Patois_orthobunyavirus	UWX37293	Patois orthobunyavirus						Patois
QLA47005|Abras_virus	QLA47005	Abras virus	75V1183	1974	Culex paracrybda	Ecuador	South America	Patois
AXP33558|Abras_virus	AXP33558	Abras virus	75V1183	1974	Culex paracrybda	Ecuador	South America	Patois
AXP31986|Babahoya_virus	AXP31986	Babahoya virus	75V2858	1975	Aedes spp	Ecuador	South America	Patois
AXP33559|Babahoya_virus	AXP33559	Babahoya virus	75V2858	1975	Culex ocossa	Ecuador	South America	Patois
ANI69984|Bellavista_virus	ANI69984	Bellavista virus	PRD0552	2009	Culex (Melanoconion) portesi	Peru: Iquitos	South America	Guama
QLA46971|Enseada_virus	QLA46971	Enseada virus	78V213	1976	Culex epanatasis	Brazil	South America	Ungrouped
AMR98952|Enseada_virus	AMR98952	Enseada virus	76V-25880	1976	Culex epanatasis	"Brazil: Cananeia Town, Sao Paulo State"	South America	Ungrouped
AGS94386|Brazoran_virus	AGS94386	Brazoran virus	Original	2012	Culex sp.	USA	North America	Ungrouped
AKO90165|Tete_orthobunyavirus	AKO90165	Tete orthobunyavirus	SAAn 3518	1959	Ploceus cucullatus	South Africa	Africa	Tete
AJT55735|Tete_orthobunyavirus	AJT55735	Tete orthobunyavirus	SaAn 3518	1959	Ploceus cucullatus	"South Africa: Natal, Ndumu"	Africa	Tete
QLA46991|Batama_virus	QLA46991	Batama virus	DakAnB 1292	1970	Euplectes afer	Central African Republic	Africa	Tete
AED98377|I612045_virus	AED98377	I612045 virus	NA	1961	NA	India	Asia	Tete
AKO90169|Matruh_virus	AKO90169	Matruh virus	An 1047-61	1961	Sylvia curraca	Egypt	Africa	Tete
AKO90156|Bahig_virus	AKO90156	Bahig virus	EgB 90	1966	Oriolus oriolus	Egypt	Africa	Tete
QLA46879|Weldona_virus	QLA46879	Weldona virus	77V5691	1976	pool of 120 midges	USA	North America	Tete
QBH98892|Ness_Ziona_virus	QBH98892	Ness Ziona virus	H234A	2016	horse	Israel	Asia	Ungrouped
AEE01391|Oyo_virus	AEE01391	Oyo virus	NA	1964	NA	Nigeria	Africa	Ungrouped
ALQ43836|Gan_Gan_virus	ALQ43836	Gan Gan virus	NB6057	1970	Aedes vigilax	Australia	Oceania	Mapputta
AGX00984|Salt_ash_virus	AGX00984	Salt ash virus	931	1992	Aedes vigilax	"Australia: Port Stephens, New South Wales"	Oceania	Mapputta
APF29571|Gan_Gan_virus	APF29571	Gan Gan virus	12005	1992	Aedes vigilax	Austrailia	Oceania	Mapputta
AOZ21156|Gan_Gan_virus	AOZ21156	Gan Gan virus	K42904	2000	Aedes vigilax	"Australia: Derby, Western Australia"	Oceania	Mapputta
AJD77607|Maprik_virus	AJD77607	Maprik virus	MK7532	1966	Verrallina funerea complex sp.	Australia	Oceania	Mapputta
AKO90170|Mapputta_virus	AKO90170	Mapputta virus	MRM186	1960	Anopheles meraukensis	Australia	Oceania	Mapputta
AJD77604|Mapputta_virus	AJD77604	Mapputta virus	MRM186	1960	Anopheles meraukensis	Australia	Oceania	Mapputta
AJD77610|Buffalo_Creek_virus	AJD77610	Buffalo Creek virus	DPP186	1982	Anopheles meraukensis	Australia	Oceania	Mapputta
AGX00981|Murrumbidgee_virus	AGX00981	Murrumbidgee virus	934	1997	Anopheles annulipes	"Australia: Griffith, New South Wales"	Oceania	Mapputta
AHL27169|Khurdun_virus	AHL27169	Khurdun virus	LEIV-Ast01-6	2001	Fulica atra	"Russia: Volga river delta, Astrakhan district"	Europe	NA
